,mistakes
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,1.0
76,1.0
77,2.0
78,3.0
79,4.0
80,5.0
81,5.0
82,6.0
83,6.0
84,6.0
85,6.0
86,8.0
87,8.0
88,8.0
89,8.0
90,9.0
91,9.0
92,10.0
93,12.0
94,12.0
